wii	In representations of various accents: with.
perez hilton	(1920–2020), Peruvian diplomat, secretary general of the United Nations 1982–91. [SEP] a woven carpet resembling a Brussels carpet but with a velvet pile.
ipad	(in the UK) Diploma in Art and Design.
oprah	(born 1954), US chat-show host and film actress, famous for The Oprah Winfrey Show.
snoop dogg	investigate or look around furtively in an attempt to find out something, especially information about someone's private affairs [SEP] = Dogo Argentino.
shakira	not found
al gore	Covered with or full of seaweed or other algae; algous.
justin bieber	(c.100–165), Christian philosopher; known as St Justin the Martyr. According to tradition he was martyred in Rome together with some of his followers. He is remembered for his Apologia (c.150). Feast day, 1 June. [SEP] a person who regularly drinks a specified drink
taylor swift	Used with reference to the instability of the interface between fluids of different densities, especially as leading to convective motion; frequently in "Rayleigh–Taylor instability". [SEP] happening quickly or promptly
psp	heat-shock protein; frequently with a following numeral indicating the molecular size in kilodaltons, as "hsp70".
soulja boy	Body and soul regarded as a unified whole; frequently attributive.
micheal jackson	(1958–2009), American pop singer and songwriter; full name Michael Joe Jackson. Having started singing with his four brothers, as the Jackson Five, he became the most commercially successful American star of the 1980s with the albums Thriller (1982) and Bad (1987).
anderson cooper	a small prefabricated air-raid shelter of a type built in the UK during the Second World War. [SEP] a maker or repairer of casks and barrels.
russell brand	A stratum in a coalfield containing fossil mussels or other bivalves.
nicki minaj	(in Aboriginal English) black tobacco in the form of a rope-like piece twisted together [SEP] In South and East Asia: a tower or turret.
kim kardashian	(1912–88), British Foreign Office official and spy; born Harold Adrian Russell Philby. While working at the British Embassy in Washington DC (1949–51), Philby was asked to resign on suspicion of being a Soviet agent, although there was no firm evidence to this effect. He defected to the USSR in 1963 and was officially revealed to have spied for the Soviets from 1933.
john mccain	(1165–1216), son of Henry II, king of England 1199–1216; known as John Lackland. He lost most of his French possessions, including Normandy, to Phillip II of France. In 1209 he was excommunicated for refusing to accept Stephen Langton as Archbishop of Canterbury. Forced to sign Magna Carta by his barons (1215), he ignored its provisions and civil war broke out. [SEP] relating to or characteristic of the Saudi Arabian city of Mecca, considered by Muslims to be the holiest city of Islam, or its inhabitants
steve jobs	(1955–2011), American computer entrepreneur; full name Steven Paul Jobs. Jobs set up the Apple computer company in 1976 with Steve Wozniak (b.1950), remaining chairman of the company until 1985 and returning in 1997 as CEO.
justin timberlake	(c.100–165), Christian philosopher; known as St Justin the Martyr. According to tradition he was martyred in Rome together with some of his followers. He is remembered for his Apologia (c.150). Feast day, 1 June. [SEP] land covered with forest suitable or managed for timber
john legend	(1165–1216), son of Henry II, king of England 1199–1216; known as John Lackland. He lost most of his French possessions, including Normandy, to Phillip II of France. In 1209 he was excommunicated for refusing to accept Stephen Langton as Archbishop of Canterbury. Forced to sign Magna Carta by his barons (1215), he ignored its provisions and civil war broke out. [SEP] a traditional story sometimes popularly regarded as historical but not authenticated an extremely famous or notorious person, especially in a particular field an inscription, especially on a coin or medal.
souljaboy	not found
taylorswift	not found
oprah winfrey	(born 1954), US chat-show host and film actress, famous for The Oprah Winfrey Show.
hillary clinton	(born 1947), US first lady and stateswoman; secretary of state 2009–13. As first lady during Bill Clinton's administration 1993–2001, she was noted for her work on healthcare reform. She served in the US Senate 2001–09 as a Democrat from New York and was the Democratic presidential candidate in 2016.
nick jonas	a small cut or notch prison the junction between the floor and side walls in a squash court or real tennis court. [SEP] (1814–74), Swedish physicist. He proposed a relationship between the emission and absorption spectra of chemical elements, and measured optical wavelengths in the unit later named in his honour.
selena gomez	the state capital of Montana; population 29,351 (est. 2008). [SEP] (1895–1989), Spanish communist politician and leader of the Republicans during the Spanish Civil War; known as La Pasionaria.
george bush	(1924–2018), US Republican statesman, 41st president of the US 1989–93; full name George Herbert Walker Bush. He negotiated further arms reductions with the Soviet Union and organized international action to expel the Iraqis from Kuwait in 1990.
john boehner	(1165–1216), son of Henry II, king of England 1199–1216; known as John Lackland. He lost most of his French possessions, including Normandy, to Phillip II of France. In 1209 he was excommunicated for refusing to accept Stephen Langton as Archbishop of Canterbury. Forced to sign Magna Carta by his barons (1215), he ignored its provisions and civil war broke out. [SEP] a Mexican or person of Mexican descent.
ellen degeneres	In Liverpool: a working-class woman, especially a fruit-seller or market trader. [SEP] having lost the physical, mental, or moral qualities considered normal and desirable; showing evidence of decline lacking some usual or expected property or quality.
weird al yankovic	suggesting something supernatural; unearthly connected with fate. [SEP] the chemical element aluminium. [SEP] an act or instance of handing something over.
ryan seacrest	Soft white gravelly clay. [SEP] a padded part extending from or fixed to the back of a seat or chair, designed to support the head.
tiger woods	(born 1975), US golfer; full name Eldrick Tont Woods. Since turning professional in 1996, he has won several championships, including the Masters (1997, 2001, 2002, 2005, 2019), the PGA (1999, 2000, 2006, 2007), the US Open (2000, 2002, 2008), and the British Open (2000, 2005, 2006). In 2000 he became the youngest player to win all four of golf's grand slam events.
alex rodriguez	(born 1941), Scottish football manager and footballer; full name Alexander Chapman Ferguson. He managed Manchester United from 1986 to 2013, winning the Premier League Championship thirteen times, the European Champions League twice, and the FA Cup five times. [SEP] A native or inhabitant of Rodrigues.
ashton kutcher	(1904–88), British ballet dancer, choreographer, and director; full name Sir Frederick William Mallandaine Ashton. As a choreographer he created new works as well as popular adaptations of classical ballets. [SEP] A grandfather.
khloe kardashian	an animal of a shaggy-haired breed of cattle with long, curved, widely spaced horns; a Highland cow.
nick cannon	a small cut or notch prison the junction between the floor and side walls in a squash court or real tennis court. [SEP] a large, heavy piece of artillery, typically mounted on wheels, formerly used in warfare a stroke in which the cue ball strikes two balls successively. a heavy cylinder or hollow drum that is able to rotate independently on a shaft.
hillary	(born 1947), US first lady and stateswoman; secretary of state 2009–13. As first lady during Bill Clinton's administration 1993–2001, she was noted for her work on healthcare reform. She served in the US Senate 2001–09 as a Democrat from New York and was the Democratic presidential candidate in 2016.
paris hilton	the capital of France, on the River Seine; population 2,203,817 (2006). [SEP] a woven carpet resembling a Brussels carpet but with a velvet pile.
jt	not found
donald trump	(born 1946), US Republican statesman, 45th president of the US 2017–21; full name Donald John Trump. He is the first US president ever to be impeached more than once, first in 2019 on charges of abuse of power and obstruction of justice, and again in 2021 for incitement of insurrection. He was the host of the reality TV programme The Apprentice, and as a real estate developer is noted for building Trump Tower (1982) in New York City.
john mayer	(1165–1216), son of Henry II, king of England 1199–1216; known as John Lackland. He lost most of his French possessions, including Normandy, to Phillip II of France. In 1209 he was excommunicated for refusing to accept Stephen Langton as Archbishop of Canterbury. Forced to sign Magna Carta by his barons (1215), he ignored its provisions and civil war broke out. [SEP] (1885–1957), Russian-born US film executive; full name Louis Burt Mayer; born Eliezer Mayer. He headed the MGM film company from its formation in 1924 until 1951.
joe biden	(born 1942), US Democratic statesman, 46th president of the US since 2021; full name Joseph Robinette Biden, Jr. He served in the US Senate 1973–2009 and was US vice president 2009–17.
jimmy fallon	an act of urination. used as a term of address to a male stranger.
ashley tisdale	(1925–85), Welsh fashion and textile designer, known for her use of floral patterns and romantic Victorian and Edwardian styles. [SEP] assign an incorrect date to (a document, event, or work of art)
barack	A type of apricot brandy made in Hungary; a drink of this.
larry king	A king of the fairies.
rev run	an enclosed area in which hens may move freely in the open
martha stewart	(in the New Testament) the sister of Lazarus and Mary and friend of Jesus (Luke 10:40). a woman who keeps herself very busy with domestic affairs. [SEP] (More fully "Royal Stewart tartan") a predominantly red tartan associated with the Stewart clan and the Royal House of Stuart.
arnold schwarzenegger	(born 1947), Austrian-born US actor and politician, noted for action roles, for instance in The Terminator (1984).
shaquille o'neal	Wearing cosmetics; made up. [SEP] heat (metal or glass) and allow it to cool slowly, in order to remove internal stresses and make it easier to work recombine (DNA) in the double-stranded form.
justin	(c.100–165), Christian philosopher; known as St Justin the Martyr. According to tradition he was martyred in Rome together with some of his followers. He is remembered for his Apologia (c.150). Feast day, 1 June.
biden	(born 1942), US Democratic statesman, 46th president of the US since 2021; full name Joseph Robinette Biden, Jr. He served in the US Senate 1973–2009 and was US vice president 2009–17.
gaga	no longer in possession of all one's mental faculties, especially on account of old age
alicia keys	(1910–2004), English ballet dancer; born Lilian Alicia Marks. She founded the Markova–Dolin Ballet with Anton Dolin in 1935 and was prima ballerina with the London Festival Ballet 1950–2. [SEP] House keys, especially those for various rooms or cupboards used for domestic purposes, traditionally in the charge of the female head of a household employing servants.
lenny kravitz	(1925–66), American comedian; born Leonard Alfred Schneider. He gained notoriety for flouting the bounds of respectability with his humour, and was imprisoned for obscenity in 1961. He died following an accidental drugs overdose. [SEP] the force that attracts a body towards the centre of the earth, or towards any other physical body having mass. extreme importance; seriousness solemnity of manner
mariah carey	Of or relating to the Virgin Mary; = "Marian". [SEP] (born 1935), English Anglican churchman, Archbishop of Canterbury 1991–2002; full name George Leonard Carey.
sara bareilles	In Spain, especially Andalusia, and Spanish-speaking countries: an overskirt or short-sleeved overdress, typically black in colour, worn outdoors by women, often along with a mantilla or (especially in Latin America) a manta. Also called a basquina. Now chiefly historical. A long, wide skirt worn as part of traditional dress by Filipino women, now only on ceremonial occasions. [SEP] a city and port on the Mediterranean coast of southern France, the capital of Provence–Alpes–Côte d'Azur; population 860,363 (2007). French name Marseille /maʀsɛj/.
arod	In Russia and (formerly) the Soviet Union: the people, the nation; (specifically in Russian and Soviet political ideology) the common people viewed as the bearers of national culture.
ms dhoni	a small wooden sailing vessel used in India and SE Asia.
johnmayer	A member or student of St John's College, Cambridge University.
stephen colbert	(c.1097–1154), grandson of William the Conqueror, king of England 1135–54. Stephen seized the throne from Matilda after the death of Henry I. Civil war followed until Matilda was defeated and forced to leave England in 1148. [SEP] (1619–83), French statesman, chief minister to Louis XIV 1665–83. He was responsible for reforming the country's finances and the navy, and for boosting industry and commerce.
dave matthews	A particle considered in terms of its wavelike properties; a de Broglie wave.
conan o'brien	(1859–1930), Scottish novelist and short-story writer, chiefly remembered for his creation of the private detective Sherlock Holmes. Holmes first appeared (with his friend Dr Watson, the narrator of the stories) in A Study in Scarlet (1887), and featured in more than fifty stories and in novels such as The Hound of the Baskervilles (1902). [SEP] (born 1932), Irish novelist and short-story writer. Her works include the novels The Country Girls (1960) and In the Forest (2002), the collection A Fanatic Heart: Selected Stories (1984), and the biography Byron in Love (2009).
justin drew bieber	(c.100–165), Christian philosopher; known as St Justin the Martyr. According to tradition he was martyred in Rome together with some of his followers. He is remembered for his Apologia (c.150). Feast day, 1 June. [SEP] produce (a picture or diagram) by making lines and marks on paper with a pencil, pen, etc. pull or drag (something such as a vehicle) so as to make it follow behind extract (an object, especially a weapon) from a container or receptacle take or obtain (liquid) from a container or receptacle be the cause of (a specified response) select (a ticket or name) randomly to decide winne
pete wentz	An Italian-American man of an earlier generation, especially an older mafioso. [SEP] To have sexual intercourse. To have sexual intercourse with (a person). To swindle or cheat (a person).
weird al	suggesting something supernatural; unearthly connected with fate. [SEP] the chemical element aluminium.
mc hammer	A small hammer for breaking ice to be used in drinks. A hammer used to break or cut through ice, fix pitons, etc., especially in Mountaineering.
chelsea handler	a residential district of London, on the north bank of the River Thames. [SEP] a person who handles or deals with certain articles or commodities a person who trains or has charge of an animal, in particular a police officer in charge of a dog. a person who trains or manages another person.
canon powershot	a general law, rule, principle, or criterion by which something is judged a collection or list of sacred books accepted as genuine (in the Roman Catholic Church) the part of the Mass containing the words of consecration. a piece in which the same melody is begun in different parts successively, so that the imitations overlap [SEP] The movement or transfer of power from one person or group to another. (In a motor vehicle) automatic transmission.
tim bresnan	Timothy (especially in biblical references).
elizabeth taylor	(1932–2011), American actress, born in England. Notable films include National Velvet (made when she was still a child in 1944), Cleopatra (1963), and Who's Afraid of Virginia Woolf? (1966), for which she won an Oscar. She was married eight times, including twice to the actor Richard Burton.
snoopdogg	not found
bieber	a person who regularly drinks a specified drink
stephen fry	(c.1097–1154), grandson of William the Conqueror, king of England 1135–54. Stephen seized the throne from Matilda after the death of Henry I. Civil war followed until Matilda was defeated and forced to leave England in 1148. [SEP] cook (food) in hot fat or oil, typically in a shallow pan destroy
o	the fifteenth letter of the alphabet. nought or zero (in a sequence of numerals, especially when spoken) a shape like that of a capital O; a circle
shaq	(in the UK) Stock Exchange Automated Quotations (the computer system on which dealers trade shares and seek or provide price quotations on the London Stock Exchange).
a-rod	control or govern very strictly or harshly
britney sears	a data transmission network founded in 1981 to link North American academic institutions and to interconnect with other information networks. [SEP] a skyscraper in Chicago, the tallest building in the world when it was completed in 1973. It is 443 m (1,454 ft) high and has 110 floors.
mindflex game	bent or curved inwards. [SEP] an activity that one engages in for amusement or fun a complete episode or period of play, ending in a final result a type of activity or business regarded as a game wild mammals or birds hunted for sport or food a group of swans
snoop dog	investigate or look around furtively in an attempt to find out something, especially information about someone's private affairs [SEP] a domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, non-retractable claws, and a barking, howling, or whining voice. an unpleasant, contemptible, or wicked man used in names of dogfishes, e.g. sandy dog, spur-dog. a mechanical device for gripping. feet. barriers used to keep horses off a particular part of the track.
al-anon mtg	a mutual support organization for the families and friends of alcoholics, especially those of members of Alcoholics Anonymous. [SEP] Middle High German.
j lo	the tenth letter of the alphabet. a shape like that of a capital J (without a crosspiece). used instead of I as the Roman numeral for one in final position [SEP] used to draw attention to an interesting or amazing event
miley ray cyrus	a person or horse trained specially to run a mile. [SEP] each of the lines in which light (and heat) may seem to stream from the sun or any luminous body, or pass through a small opening any of a set of straight lines passing through one point a thing that is arranged radially. [SEP] (died c.530 BC), king of Persia 559–530 BC and founder of the Achaemenid dynasty, father of Cambyses; known as Cyrus the Great. He defeated the Median empire in 550 BC and went on to conquer Asia Minor, Babylonia, Syria, Palestine, and most of the Iranian plateau.
albert pujols	a watch chain with a bar at one end for attaching to a buttonhole. [SEP] a national park in northern Zimbabwe, in the Zambezi valley north-east of Lake Kariba, established in 1963.
kourtney kardashian	an act of travelling from one place to another
tony hawk	fashionable among wealthy or stylish people [SEP] a bird of prey with broad rounded wings and a long tail, typically taking prey by surprise with a short chase. a person who advocates an aggressive or warlike policy, especially in foreign affairs used in names of hawkmoths, e.g. eyed hawk.
miley	a person or horse trained specially to run a mile.
lance armstrong	(born 1971), US cyclist. He won the Tour de France in 1999 after successfully battling testicular cancer, and repeated the win for the next six years (2000–05). In 2012 he was stripped of these titles for using performance-enhancing drugs.
kevin spacey	(born 1951), English footballer and manager; full name Joseph Kevin Keegan. He played as an attacker for clubs including Liverpool and Hamburg, and played for England 1972–82. He has managed Newcastle United and Fulham, and was England coach 1999–2000. [SEP] unaware of one's surroundings or in a state of euphoria, especially as a result of taking drugs
britneyspears	not found
battery	a container consisting of one or more cells, in which chemical energy is converted into electricity and used as a source of power a fortified emplacement for heavy guns a set of similar units of equipment, typically when connected together a series of small cages for the intensive rearing of farm animals, especially calves and poultry the infliction of unlawful personal violence on another person, even where the contact does no physical harm the pitcher and the catcher.
suite of software	a set of rooms designated for one person's or family's use or for a particular purpose a set of instrumental compositions, originally in dance style, to be played in succession. a group of people in attendance on a monarch or other person of high rank a set of programs with a uniform design and the ability to share data. a group of minerals, rocks, or fossils occurring together and characteristic of a location or period [SEP] expressing the relationship between a part and a whole. expressing the relationship between a scale or measure and a value indicating an association between two entities,
syncing	synchronization
warranty	a written guarantee, issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time justification or grounds for an action or belief
Customer Service number	a person who buys goods or services from a shop or business a person of a specified kind with whom one has to deal [SEP] the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form a periodic routine inspection and maintenance of a vehicle or other machine a set of matching 
Quality	the standard of something as measured against other things of a similar kind; the degree of excellence of something a distinctive attribute or characteristic possessed by someone or something
memory	the faculty by which the mind stores and remembers information something remembered from the past the part of a computer in which data or program instructions can be stored for retrieval.
weighed	Duly considered or pondered; carefully thought through.
use	take, hold, or deploy (something) as a means of accomplishing or achieving something; employ take or consume (an amount) from a limited supply describing an action or situation that was done repeatedly or existed for a period in the past be or become familiar with (someone or something) through experience one would like or benefit from
volume	a book forming part of a work or series the amount of space that a substance or object occupies, or that is enclosed within a container quantity or power of sound; degree of loudness
safari	an expedition to observe or hunt animals in their natural habitat, especially in East Africa
Resolution	a firm decision to do or not to do something the quality of being determined or resolute the action of solving a problem or contentious matter the process of reducing or separating something into constituent parts or components. the smallest interval measurable by a telescope or other scientific instrument; the resolving power. the conversion of something abstract into another form
base installation	the lowest part or edge of something, especially the part on which it rests or is supported a conceptual structure or entity on which something draws or depends a place used as a centre of operations by the armed forces or others; a headquarters a main or important element or ingredient to which other things are added a substance capable of reacting with an acid to form a salt and water, or (more broadly) of accepting or neutralizing hydrogen ions. the middle part of a bipolar transistor, separating the emitter from the collector. the root or stem of a word or a derivative. a number used as th
price tag	a label showing the price of an item for sale.
processor	a machine that processes something
running	the action or movement of a runner the action of managing or operating something
inbuilt applications	existing as an original or essential part of something or someone [SEP] = application programmer.
Vista	a pleasing view
mouse	a small rodent that typically has a pointed snout, relatively large ears and eyes, and a long tail. a small handheld device which is moved across a mat or flat surface to move the cursor on a computer screen a lump or bruise on or near the eye
Tech support	The maintenance of technical or computing equipment and provision of advice regarding its use; the department of a company providing this.
audio	sound, especially when recorded, transmitted, or reproduced
keyboard	a panel of keys that operate a computer or typewriter. a set of keys on a piano or similar musical instrument.
set up	place or erect something in position establish a business, institution, or other organization establish someone in a particular capacity, occupation, or role make an innocent person appear guilty of something begin making a loud sound restore or enhance the health of someone
display screen	put (something) in a prominent place in order that it may readily be seen [SEP] a fixed or movable upright partition used to divide a room, give shelter from draughts, heat, or light, or to provide concealment or privacy a flat panel or area on an electronic device such as a television, computer, or smartphone, on which images and data are displayed a transparent finely ruled plate or film used in half-tone reproduction. a system of checking a person or thing for the presence or absence of something, typically a disease a detachment of troops or ships detailed to cover the movements of the mai
life	the condition that distinguishes animals and plants from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death the existence of an individual human being or animal the period between the birth and death of a living thing, especially a human being vitality, vigour, or energy (in art) the depiction of a subject from a real model, rather than from an artist's imagination
product and help aftermarket	an article or substance that is manufactured or refined for sale a thing or person that is the result of an action or process a quantity obtained by multiplying quantities together, or from an analogous algebraic operation. [SEP] used to connect words of the same part of speech, clauses, or sentences, that are to be taken jointly used to introduce an additional comment or interjection used after some verbs and before another verb to indicate intention, instead of ‘to’ [SEP] make it easier or possible for (someone) to do something by offering one's services or resources serve someone with (food
image	a representation of the external form of a person or thing in art the general impression that a person, organization, or product presents to the public a simile or metaphor
hardware	tools, machinery, and other durable equipment the machines, wiring, and other physical components of a computer or other electronic system
i7	not found
twin packing	a tack coated with tin.
value	the regard that something is held to deserve; the importance, worth, or usefulness of something principles or standards of behaviour; one's judgement of what is important in life the numerical amount denoted by an algebraic term; a magnitude, quantity, or number the relative duration of the sound signified by a note. the meaning of a word or other linguistic unit. the relative degree of lightness or darkness of a particular colour
Games	an amateur sports competition held every four years between member countries of the Commonwealth.
virus protection	an infective agent that typically consists of a nucleic acid molecule in a protein coat, is too small to be seen by light microscopy, and is able to multiply only within the living cells of a host a piece of code that is capable of copying itself and typically has a detrimental effect, such as corrupting the system or destroying data. [SEP] the action of protecting, or the state of being protected the practice of paying money to criminals so as to prevent them from attacking oneself or one's property
games	an amateur sports competition held every four years between member countries of the Commonwealth.
speed	the rate at which someone or something moves or operates or is able to move or operate each of the possible gear ratios of a bicycle or motor vehicle. the light-gathering power or f-number of a camera lens. an amphetamine drug, especially methamphetamine. success; prosperity
work	activity involving mental or physical effort done in order to achieve a purpose or result a task or tasks to be undertaken a thing or things done or made; the result of an action a place or premises in which industrial or manufacturing processes are carried out the operative part of a clock or other machine a defensive structure the exertion of force overcoming resistance or producing molecular change. everything needed, desired, or expected
Product support	an article or substance that is manufactured or refined for sale a thing or person that is the result of an action or process a quantity obtained by multiplying quantities together, or from an analogous algebraic operation. [SEP] bear all or part of the weight of; hold up give assistance to, especially financially suggest the truth of; corroborate (of a computer or operating system) allow the use or operation of (a program, language, or device) endure; tolerate
lcd screen	a visual interface on a computer or mobile phone which is available before the user has entered a passcode or otherwise activated the full functionality of the device
switch	a device for making and breaking the connection in an electric circuit an act of changing to or adopting one thing in place of another a slender, flexible shoot cut from a tree. a set of points on a railway track. a tress of false or detached hair tied at one end, used in hairdressing to supplement natural hair.
size	the relative extent of something; a thing's overall dimensions or magnitude; how big something is each of the classes, typically numbered, into which garments or other articles are divided according to how large they are
battery life	Conforming to or resembling a pattern; characterized by regularity.
power adapter plug	the ability or capacity to do something or act in a particular way the capacity or ability to direct or influence the behaviour of others or the course of events physical strength and force exerted by something or someone energy that is produced by mechanical, electrical, or other means and used to operate a device the rate of doing work, measured in watts or less frequently horse power. the product obtained when a number is multiplied by itself a certain number of times a large number or amount of something [SEP] a device for connecting pieces of equipment that cannot be connected directly a 
extended warrenty	made larger; enlarged [SEP] a written guarantee, issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time justification or grounds for an action or belief
Navigation	the process or activity of accurately ascertaining one's position and planning and following a route the passage of ships the action of moving around a website, the internet, etc.
Fan	an apparatus with rotating blades that creates a current of air for cooling or ventilation a handheld device, typically folding and shaped like a segment of a circle when spread out, that is waved so as to cool the person holding it
runs	move at a speed faster than a walk, never having both or all the feet on the ground at the same time pass or cause to pass quickly in a particular direction (with reference to a liquid) flow or cause to flow extend or cause to extend in a particular direction (of a bus, train, ferry, or other form of transport) make a regular journey on a particular route be in charge of; manage be in or cause to be in operation; function or cause to function continue or be valid or operative for a particular period of time stand as a candidate in an election publish or be published in a newspaper or magazine 
program	a program into which another program is translated by an assembler or compiler.
spinning beachball	the action or process of spinning; the conversion of fibres into yarn [SEP] a large inflatable ball used for playing games on the beach.
wireless internet access	using radio, microwaves, etc. (as opposed to wires or cables) to transmit signals [SEP] a global computer network providing a variety of information and communication facilities, consisting of interconnected networks using standardized communication protocols [SEP] the means or opportunity to approach or enter a place an attack or outburst of an emotion
carry	support and move (someone or something) from one place to another support the weight of (of a sound, ball, missile, etc.) reach a specified point assume or accept (responsibility or blame) have as a feature or consequence approve (a proposed measure) by a majority of votes transfer (a figure) to an adjacent column during an arithmetical operation (e.g. when a column of digit adds up to more than ten).
pictures	act in films or work for the film industry
wifi card	a card or token that can be exchanged for a specified cash value of goods or services from a particular business, given as a gift
warrenty	a written guarantee, issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time justification or grounds for an action or belief
OpenOffice	not found
quality	the standard of something as measured against other things of a similar kind; the degree of excellence of something a distinctive attribute or characteristic possessed by someone or something
PRODUCT KEY	an article or substance that is manufactured or refined for sale a thing or person that is the result of an action or process a quantity obtained by multiplying quantities together, or from an analogous algebraic operation. [SEP] a small piece of shaped metal with incisions cut to fit the wards of a particular lock, which is inserted into a lock and turned to open or close it each of several buttons on a panel for operating a computer, typewriter, or telephone a thing that provides a means of achieving or understanding something a group of notes based on a particular note and comprising a scal
one touch keys	the lowest cardinal number; half of two; 1 the same; identical a joke or story an alcoholic drink alone [SEP] come into or be in contact with handle in order to interfere with, alter, or otherwise affect affect or concern produce feelings of affection, gratitude, or sympathy in reach (a specified level or amount) [SEP] House keys, especially those for various rooms or cupboards used for domestic purposes, traditionally in the charge of the female head of a household employing servants.
stability	the state of being stable
iphoto	a photograph.
price	the amount of money expected, required, or given in payment for something an unwelcome experience or action undergone or done as a condition of achieving an objective
hard drive	a disk drive used to read from and write to a hard disk.
stand	have or maintain an upright position, supported by one's feet (of an object, building, or settlement) be situated in a particular place or position be in a specified state or condition withstand (an experience or test) without being damaged be a candidate in an election provide (food or drink) for (someone) at one's own expense act as umpire in a cricket match.
screen	a fixed or movable upright partition used to divide a room, give shelter from draughts, heat, or light, or to provide concealment or privacy a flat panel or area on an electronic device such as a television, computer, or smartphone, on which images and data are displayed a transparent finely ruled plate or film used in half-tone reproduction. a system of checking a person or thing for the presence or absence of something, typically a disease a detachment of troops or ships detailed to cover the movements of the main body a large sieve or riddle, especially one for sorting substances such as gr
BIOS	a set of computer instructions in firmware which control input and output operations.
windows	a GUI operating system for personal computers.
Toshiba tech support	technology. an educational institution specializing in technology or applied sciences; a technical college. [SEP] bear all or part of the weight of; hold up give assistance to, especially financially suggest the truth of; corroborate (of a computer or operating system) allow the use or operation of (a program, language, or device) endure; tolerate
